,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,категория,артикуль,ціна,назва,опис,характеристики
,,сковородки,55-333-477,1 531,Набір сковорідок Berlin Krauff ⌀26см та ⌀28см,"Сковорода Berlin Krauff ⌀28 см, Сковорода Berlin Krauff ⌀26 см","Кованый алюминий
Равномерный нагрев и антипригарное покрытие
Удобная и эргономичная ручка
Подходит для интенсивного использования
Сковорода устойчива к деформациям
"
,,сковородки ,55-333-527,1123,Сковорода глибока 28 см Krauff Fry Power,Глибока сковорода Fry Power діаметром 28 см,"Инновационное антипригарное покрытие нового поколения
Равномерный нагрев по всей поверхности
Удобная эргономичная ручка
Подходит для всех типов плит
Сковорода устойчива к деформациям
"
,,сковородки,28546,2417,Набір сковорідок Transform Krauff,"Сковорода для млинців Transform Krauff 24 см, Сковорода універсальна Transform Krauff 26 см, 24см","-Съемная ручка – можно жарить и запекать в духовке
-Кованый алюминий
-равномерный нагрев и антипригарное покрытие
-Удобная и эргономичная ручка
-Подходит для интенсивного использования
-Сковорода устойчива к деформациям"
,,кастрюли,55-333-675,2699,"Набір каструль з ковшем Steil + ПОДАРУНКИ: Лопатка, ополоник, картоплемялка","Каструля із кришкою 5,8 л; Каструля із кришкою 4,5 л; Каструля із кришкою 3,4 л; Каструля з кришкою 2,5 л; Каструля із кришкою 1,7 л; Ківш із кришкою 1,2 л; Лопатка; Половник; Толкушка для картоплі","Нержавеющая сталь
5-слойное капсульное дно
Шесть элементов для любых задач
Подходит для всех типов плит "
,,кастрюли,55-333-644,5477,"Набір посуду 12 предметів Krauff Saporis та сковорідки Berlin 26, 28 см","Каструлі з кришками: 1.5 л 2.0 л 3.0 л 5.0 л Сотейник 3.0 л з кришкою Ківш 1.5 л з кришкою Сковорода Berlin 26 см , 28 см","5-слойное капсульное дно;
Нержавеющая сталь премиумкласса;
Стеклянные крышки позволяют контролировать блюдо без потери тепла;
Ручки не нагреваются;
Универсальность: набор совместим со всеми типами плит, включая индукцию."
,,кастрюли,28473,3381,Набір каструль Steil Krauff з ковшом,"Ківш 1,2л з кришкою Steil ⌀14см; Каструля 1,7л зі скляною кришкою Steil ⌀16см; Каструля 2,5л зі скляною кришкою Steil ⌀18см; Каструля 3,4л зі скляною кришкою Steil ⌀ 20см; Каструля 4,5л зі скляною кришкою Steil ⌀ 22см; Каструля 5,8л зі скляною кришкою Steil ⌀ 24см;","5-слойное термоаккумулирующее дно,
высококачественная нержавеющая сталь (18/10),
крышка с выпуском пара, мерная шкала,
можно мыть в посудомоечной машине."
,,кастрюли,28567,3631,Набір каструль Steil Krauff + ПОДАРУНОК: Сковорода для млинців 24 см Fry Power,"Каструля 5,8 л Каструля 4,5 л Каструля 3,4 л Каструля 2,5 л Каструля 1,7 л Ківш 1,2 л Сковорода для млинців 24 см Fry Power","Нержавеющая сталь
5-шаровое капсульное дно
Равномерный нагрев
Подходить для всех типов плит
Крышки из закаленного стекла"
,,кастрюли,55-333-554,4365,Набір каструль Prime Chef Krauff з сотейником,"Ківш Prime Chef Krauff 2.1 л, 16 см з кришкою;Каструля Prime Chef Krauff 3.8 л, 20 см з кришкою;Каструля Prime Chef Krauff 6.3 л, 24 см з кришкою;Сковорідка Prime Chef Krauff 24 см з антипригарним покриттям;","5-слойное термоаккумулирующее дно, 
Высококачественная нержавеющая сталь (18/10), 
Крышка с паровыпуском."
,,кастрюли,28460,6712,"Набір для кухні ""Преміальний""",каструля 1.8 л з кришкою; каструля 2.5 л з кришкою; каструля 3.5 л з кришкою; каструля 6.3 л з кришкою;,"5-слойное капсульное дно;
Нержавеющая сталь премиум-класса;
Удобные ручки и термостойкие стеклянные крышки;
Специальная конструкция кастрюли и крышки для слива жидкости."
,,кастрюли,55-333-535,1958,"Каструля Smart Fry Krauff 6,6л зі скляною кришкою +ПОДАРУНОК: лопатка, ополоник та картоплемялка","Каструля Krauff Smart Fry 6,6 л Ø28 см з кришкою Лопатка Krauff Ополоник Krauff Картоплемялка Krauff","Прочный кованый алюминий
Антипригарное покрытие Greblon C2
Тепловой индикатор в виде пламени
Ручки с покрытием soft-touch
Совместимость со всеми типами плит, включая индукционные"
,,кастрюли,28480,1156,"Каструлі Krauff серії Winzig 1,2 л і 0,7 л","Каструля Winzig з кришкою на 1,2 л; Каструля Winzig з кришкою на 0,7 л;","5-слойное термоаккумулирующее дно, 
высококачественная нержавеющая сталь (18/10), 
крышка с паровыпуском."
,,кастрюли,55-333-419,2535,"Набір каструль Elite Krauff 1,3л, 1,9л, 4,7л","Каструля з кришкою 1,9 л 16 см,Каструля з кришкою 1,3 л 14 см, Каструля з кришкою 4,7 л 22 см, Каструля з кришкою 6,1 л 24 см","Термоаккумулирующее 5-ти слойное дно. 
Эргономичные ручки с soft-touch покрытием. 
Термостойкая градация литража. 
Термостойкое стекло с отверстием для выхода пара."
,,кастрюли,55-333-462,4630,"Набір каструль Cook&Joy 4,6л, 3,5л, 1,8л та сковорідок Smart Fry Krauff + ПОДАРУНКИ: Сковорода для млинців Smart Fry",,"Индикатор нагрева в виде огня внутри
Стеклянная термостойкая крышка - контроль без открывания.
Нержавеющая сталь 18/10 — надежная основа для приготовления."
,,кастрюли,28827,1486,"Каструля Krauff Moxie 6,5 л +ПОДАРУНОК: Підставка Krauff Galaxy",Каструля Krauff Moxie зі скляною кришкою 6.5 л ⌀24 см; Підставка під гаряче Krauff Galaxy.,"-толщина стенки 0,5мм;
-ручки с силиконовыми вставками;
-5-ти слойное термоаккумулирующее индукционное дно;
-зеркальная полировка снаружи и внутри;
-возможность слива жидкости благодаря конструктиву кастрюли (носик), специальная крышка с отверстиями для слива жидкости."
,,кастрюли,55-333-641,2642,"Каструля з кришкою Smart Fry 2,3л, 6,6л","Каструля з кришкою Smart Fry 2,3л,Каструля з кришкою Smart Fry 6,6л","5-слойное капсульное дно;
Совместимость со всеми типами плит;
нержавеющая сталь 18/10 премиум-класса;"
